"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"2","3.54","KEGG_PATHWAY","Prostate cancer","3","9","106","9375","33.33","3.39e-3","8.79e-3","29.48","4.65e-1","4.68e-3","1.12e-4","AKT1,TP53,MAPK3","hsa05215:Prostate cancer"
"2","3.54","KEGG_PATHWAY","Th17 cell differentiation","3","9","109","9375","33.33","3.58e-3","9.03e-3","28.67","4.83e-1","4.81e-3","1.22e-4","IL6,JUN,MAPK3","hsa04659:Th17 cell differentiation"
"2","3.54","KEGG_PATHWAY","Insulin resistance","3","9","109","9375","33.33","3.58e-3","9.03e-3","28.67","4.83e-1","4.81e-3","1.22e-4","IL6,AKT1,TNF","hsa04931:Insulin resistance"
"2","3.54","KEGG_PATHWAY","HIF-1 signaling pathway","3","9","110","9375","33.33","3.65e-3","9.07e-3","28.41","4.90e-1","4.83e-3","1.25e-4","IL6,AKT1,MAPK3","hsa04066:HIF-1 signaling pathway"
"2","3.54","UP_KW_BIOLOGICAL_PROCESS","Apoptosis","4","8","587","11630","44.44","3.84e-3","8.84e-2","9.91","8.48e-2","8.84e-2","3.82e-4","CASP3,AKT1,TP53,MAPK3","KW-0053~Apoptosis"
"2","3.54","KEGG_PATHWAY","Serotonergic synapse","3","9","115","9375","33.33","3.98e-3","9.76e-3","27.17","5.20e-1","5.20e-3","1.43e-4","CASP3,PTGS2,MAPK3","hsa04726:Serotonergic synapse"
"2","3.54","KEGG_PATHWAY","Natural killer cell mediated cytotoxicity","3","9","116","9375","33.33","4.05e-3","9.80e-3","26.94","5.26e-1","5.22e-3","1.47e-4","CASP3,TNF,MAPK3","hsa04650:Natural killer cell mediated cytotoxicity"
"2","3.54","KEGG_PATHWAY","Thyroid hormone signaling pathway","3","9","122","9375","33.33","4.47e-3","1.07e-2","25.61","5.61e-1","5.69e-3","1.71e-4","AKT1,TP53,MAPK3","hsa04919:Thyroid hormone signaling pathway"
"2","3.54","KEGG_PATHWAY","Relaxin signaling pathway","3","9","130","9375","33.33","5.06e-3","1.19e-2","24.04","6.07e-1","6.36e-3","2.06e-4","JUN,AKT1,MAPK3","hsa04926:Relaxin signaling pathway"
"2","3.54","KEGG_PATHWAY","FoxO signaling pathway","3","9","133","9375","33.33","5.29e-3","1.23e-2","23.50","6.23e-1","6.56e-3","2.20e-4","IL6,AKT1,MAPK3","hsa04068:FoxO signaling pathway"
"2","3.54","KEGG_PATHWAY","Estrogen signaling pathway","3","9","139","9375","33.33","5.76e-3","1.33e-2","22.48","6.55e-1","7.06e-3","2.51e-4","JUN,AKT1,MAPK3","hsa04915:Estrogen signaling pathway"
"2","3.54","KEGG_PATHWAY","Gastric cancer","3","9","150","9375","33.33","6.68e-3","1.52e-2","20.83","7.09e-1","8.09e-3","3.14e-4","AKT1,TP53,MAPK3","hsa05226:Gastric cancer"
"2","3.54","KEGG_PATHWAY","Efferocytosis","3","9","157","9375","33.33","7.30e-3","1.62e-2","19.90","7.40e-1","8.62e-3","3.59e-4","CASP3,PTGS2,MAPK3","hsa04148:Efferocytosis"
"2","3.54","KEGG_PATHWAY","mTOR signaling pathway","3","9","158","9375","33.33","7.39e-3","1.62e-2","19.78","7.45e-1","8.63e-3","3.66e-4","AKT1,TNF,MAPK3","hsa04150:mTOR signaling pathway"
"2","3.54","KEGG_PATHWAY","Hepatocellular carcinoma","3","9","170","9375","33.33","8.52e-3","1.84e-2","18.38","7.93e-1","9.82e-3","4.54e-4","AKT1,TP53,MAPK3","hsa05225:Hepatocellular carcinoma"
"2","3.54","GOTERM_BP_DIRECT","DNA damage response","3","9","351","19172","33.33","8.70e-3","1.62e-1","18.21","9.96e-1","1.51e-1","4.71e-4","CASP3,TP53,MAPK3","GO:0006974~DNA damage response"
"2","3.54","KEGG_PATHWAY","Focal adhesion","3","9","203","9375","33.33","1.20e-2","2.56e-2","15.39","8.91e-1","1.37e-2","7.63e-4","JUN,AKT1,MAPK3","hsa04510:Focal adhesion"
"2","3.54","KEGG_PATHWAY","Chemical carcinogenesis - receptor activation","3","9","217","9375","33.33","1.36e-2","2.88e-2","14.40","9.20e-1","1.53e-2","9.27e-4","JUN,AKT1,MAPK3","hsa05207:Chemical carcinogenesis - receptor activation"
"2","3.54","KEGG_PATHWAY","cAMP signaling pathway","3","9","226","9375","33.33","1.47e-2","3.07e-2","13.83","9.35e-1","1.63e-2","1.04e-3","JUN,AKT1,MAPK3","hsa04024:cAMP signaling pathway"
"2","3.54","KEGG_PATHWAY","Chemical carcinogenesis - reactive oxygen species","3","9","227","9375","33.33","1.48e-2","3.07e-2","13.77","9.36e-1","1.63e-2","1.06e-3","JUN,AKT1,MAPK3","hsa05208:Chemical carcinogenesis - reactive oxygen species"
"2","3.54","GOTERM_BP_DIRECT","inflammatory response","3","9","466","19172","33.33","1.50e-2","2.05e-1","13.71","1.00e+0","1.91e-1","1.07e-3","IL6,AKT1,TNF","GO:0006954~inflammatory response"
"2","3.54","GOTERM_BP_DIRECT","intracellular signal transduction","3","9","512","19172","33.33","1.79e-2","2.25e-1","12.48","1.00e+0","2.11e-1","1.41e-3","CASP3,AKT1,MAPK3","GO:0035556~intracellular signal transduction"
"2","3.54","GOTERM_CC_DIRECT","glutamatergic synapse","3","9","617","20299","33.33","2.29e-2","5.91e-1","10.97","8.02e-1","5.91e-1","2.05e-3","CASP3,AKT1,MAPK3","GO:0098978~glutamatergic synapse"
"2","3.54","UP_KW_PTM","Acetylation","6","9","3536","14457","66.67","2.48e-2","2.27e-1","2.73","2.61e-1","1.75e-1","8.90e-3","JUN,CASP3,AKT1,PTGS2,TP53,MAPK3","KW-0007~Acetylation"
"2","3.54","GOTERM_CC_DIRECT","protein-containing complex","3","9","815","20299","33.33","3.84e-2","6.72e-1","8.30","9.35e-1","6.72e-1","4.52e-3","AKT1,TNF,TP53","GO:0032991~protein-containing complex"
"2","3.54","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","3","9","908","20700","33.33","4.51e-2","1.00e+0","7.60","1.00e+0","1.00e+0","5.79e-3","AKT1,PTGS2,MAPK3","ACT_SITE:Proton acceptor"
"2","3.54","UP_KW_PTM","Ubl conjugation","5","9","2830","14457","55.56","5.24e-2","2.27e-1","2.84","4.76e-1","1.75e-1","1.79e-2","JUN,CASP3,AKT1,TP53,MAPK3","KW-0832~Ubl conjugation"
"2","3.54","GOTERM_CC_DIRECT","nucleoplasm","5","9","4364","20299","55.56","7.10e-2","9.94e-1","2.58","9.94e-1","9.94e-1","2.65e-2","JUN,CASP3,AKT1,TP53,MAPK3","GO:0005654~nucleoplasm"
"2","3.54","UP_KW_PTM","Glycoprotein","6","9","4885","14457","66.67","9.26e-2","2.42e-1","1.97","6.89e-1","1.86e-1","4.52e-2","COL18A1,IL6,AKT1,PTGS2,TNF,TP53","KW-0325~Glycoprotein"
"2","3.54","GOTERM_CC_DIRECT","mitochondrion","3","9","1739","20299","33.33","1.45e-1","1.00e+0","3.89","1.00e+0","1.00e+0","3.56e-2","AKT1,TP53,MAPK3","GO:0005739~mitochondrion"
"2","3.54","UP_KW_PTM","Disulfide bond","5","9","4085","14457","55.56","1.64e-1","3.54e-1","1.97","8.83e-1","2.73e-1","7.88e-2","COL18A1,IL6,AKT1,PTGS2,TNF","KW-1015~Disulfide bond"
"2","3.54","GOTERM_CC_DIRECT","cytosol","5","9","5849","20299","55.56","1.73e-1","1.00e+0","1.93","1.00e+0","1.00e+0","8.49e-2","CASP3,AKT1,PTGS2,TP53,MAPK3","GO:0005829~cytosol"
"2","3.54","UP_KW_CELLULAR_COMPONENT","Nucleus","5","9","5987","18225","55.56","2.49e-1","1.00e+0","1.69","9.68e-1","1.00e+0","1.37e-1","JUN,AKT1,PTGS2,TP53,MAPK3","KW-0539~Nucleus"
"2","3.54","GOTERM_CC_DIRECT","nucleus","5","9","6773","20299","55.56","2.59e-1","1.00e+0","1.67","1.00e+0","1.00e+0","1.45e-1","JUN,CASP3,AKT1,TP53,MAPK3","GO:0005634~nucleus"
"2","3.54","GOTERM_CC_DIRECT","cytoplasm","5","9","6894","20299","55.56","2.72e-1","1.00e+0","1.64","1.00e+0","1.00e+0","1.55e-1","CASP3,AKT1,PTGS2,TP53,MAPK3","GO:0005737~cytoplasm"
"2","3.54","UP_KW_PTM","Isopeptide bond","3","9","1946","14457","33.33","2.94e-1","5.46e-1","2.48","9.85e-1","4.20e-1","1.10e-1","JUN,AKT1,TP53","KW-1017~Isopeptide bond"
"2","3.54","GOTERM_CC_DIRECT","plasma membrane","4","9","5955","20299","44.44","4.31e-1","1.00e+0","1.51","1.00e+0","1.00e+0","2.55e-1","IL6,AKT1,TNF,MAPK3","GO:0005886~plasma membrane"
"2","3.54","UP_KW_CELLULAR_COMPONENT","Cytoplasm","4","9","6017","18225","44.44","5.24e-1","1.00e+0","1.35","1.00e+0","1.00e+0","3.42e-1","CASP3,AKT1,TP53,MAPK3","KW-0963~Cytoplasm"
"2","3.54","UP_KW_CELLULAR_COMPONENT","Membrane","5","9","8448","18225","55.56","5.55e-1","1.00e+0","1.20","1.00e+0","1.00e+0","4.11e-1","AKT1,PTGS2,TNF,TP53,MAPK3","KW-0472~Membrane"
"2","3.54","UP_SEQ_FEATURE","REGION:Disordered","6","9","13817","20700","66.67","7.43e-1","1.00e+0","1.00","1.00e+0","1.00e+0","6.52e-1","COL18A1,IL6,CASP3,AKT1,TP53,MAPK3","REGION:Disordered"
"3","3.08","GOTERM_BP_DIRECT","positive regulation of miRNA transcription","4","9","62","19172","44.44","1.78e-6","6.55e-4","137.43","1.12e-3","6.13e-4","1.23e-8","IL6,JUN,TNF,TP53","GO:1902895~positive regulation of miRNA transcription"
"3","3.08","GOTERM_BP_DIRECT","negative regulation of cell population proliferation","5","9","432","19172","55.56","1.66e-5","2.87e-3","24.66","1.04e-2","2.68e-3","6.64e-7","COL18A1,IL6,JUN,TNF,TP53","GO:0008285~negative regulation of cell population proliferation"
"3","3.08","KEGG_PATHWAY","Fluid shear stress and atherosclerosis","4","9","142","9375","44.44","1.80e-4","8.09e-4","29.34","3.26e-2","4.31e-4","5.99e-6","JUN,AKT1,TNF,TP53","hsa05418:Fluid shear stress and atherosclerosis"
"3","3.08","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","4","9","768","19172","44.44","3.08e-3","8.39e-2","11.09","8.57e-1","7.84e-2","2.74e-4","IL6,JUN,TNF,TP53","GO:0045893~positive regulation of DNA-templated transcription"
"3","3.08","GOTERM_MF_DIRECT","transcription cis-regulatory region binding","3","9","332","19319","33.33","7.70e-3","1.36e-1","19.40","4.93e-1","1.36e-1","3.91e-4","JUN,TNF,TP53","GO:0000976~transcription cis-regulatory region binding"
